Date,Price,Type,PnL
2024-03-27,1.0826,Buy,100.0
2024-03-27,1.0846,Buy,100.0
2024-03-27,1.0866,Buy,100.0
2024-03-27,1.0886,Buy,100.0
2024-03-27,1.0906,Buy,100.0
2024-03-27,1.0926,Buy,100.0
2024-03-27,1.0946,Buy,100.0
2024-03-27,1.0966,Buy,100.0
2024-03-27,1.0986,Buy,100.0
2024-03-27,1.1006,Buy,100.0
2024-03-27,1.1026,Buy,100.0
2024-03-28,1.0806,Buy,100.0
2024-04-01,1.0746,Buy,100.0
2024-04-01,1.0766,Buy,100.0
2024-04-01,1.0786,Buy,100.0
2024-04-02,1.0768,Sell,102.19999999999997
2024-04-03,1.0835,Sell,105.09999999999988
2024-04-03,1.0835,Sell,111.99999999999979
2024-04-03,1.0835,Sell,116.8999999999997
2024-04-08,1.0858,Sell,120.09999999999978
2024-04-10,1.0746,Buy,120.09999999999978
2024-04-10,1.0766,Buy,120.09999999999978
2024-04-10,1.0786,Buy,120.09999999999978
2024-04-10,1.0806,Buy,120.09999999999978
2024-04-10,1.0826,Buy,120.09999999999978
2024-04-11,1.0726,Buy,120.09999999999978
2024-04-12,1.0646,Buy,120.09999999999978
2024-04-12,1.0666,Buy,120.09999999999978
2024-04-12,1.0686,Buy,120.09999999999978
2024-04-12,1.0706,Buy,120.09999999999978
2024-04-15,1.0626,Buy,120.09999999999978
2024-04-17,1.0671,Sell,122.59999999999972
2024-04-17,1.0671,Sell,127.09999999999967
2024-04-18,1.0646,Buy,127.09999999999967
2024-04-23,1.0699,Sell,130.39999999999975
2024-04-23,1.0699,Sell,135.69999999999982
2024-04-25,1.0729,Sell,139.9999999999998
2024-04-25,1.0729,Sell,142.29999999999978
2024-04-26,1.0706,Buy,142.29999999999978
2024-04-30,1.0666,Buy,142.29999999999978
2024-04-30,1.0686,Buy,142.29999999999978
2024-05-01,1.0709,Sell,146.59999999999977
2024-05-01,1.0709,Sell,148.89999999999975
2024-05-03,1.0758,Sell,152.09999999999985
2024-05-03,1.0758,Sell,157.29999999999995
2024-05-06,1.0768,Sell,159.49999999999994
